packet{sock="0xffff88cdd1031b00",saddr="192.168.239.132",sport="32976",daddr="1.1.1.1",dport="80",seq="2347153103",ack="331362462",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdd1031b00",saddr="1.1.1.1",sport="80",daddr="192.168.239.132",dport="32976",seq="331362462",ack="2347153174",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdce292400",saddr="192.168.239.132",sport="32982",daddr="1.1.1.1",dport="80",seq="3219540964",ack="828339263",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdce292400",saddr="1.1.1.1",sport="80",daddr="192.168.239.132",dport="32982",seq="828339263",ack="3219541035",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4881200",saddr="192.168.239.132",sport="50488",daddr="123.56.228.182",dport="443",seq="4162200606",ack="1552969134",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc4881200",saddr="123.56.228.182",sport="443",daddr="192.168.239.132",dport="50488",seq="1552969134",ack="4162201006",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4881200",saddr="123.56.228.182",sport="443",daddr="192.168.239.132",dport="50488",seq="1552969134",ack="4162201006",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4881200",saddr="192.168.239.132",sport="50488",daddr="123.56.228.182",dport="443",seq="4162201006",ack="1552973230",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc4881200",saddr="123.56.228.182",sport="443",daddr="192.168.239.132",dport="50488",seq="1552969134",ack="4162201006",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4881200",saddr="123.56.228.182",sport="443",daddr="192.168.239.132",dport="50488",seq="1552969134",ack="4162201006",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4881200",saddr="123.56.228.182",sport="443",daddr="192.168.239.132",dport="50488",seq="1552969134",ack="4162201006",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4881200",saddr="123.56.228.182",sport="443",daddr="192.168.239.132",dport="50488",seq="1552969134",ack="4162201006",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4881200",saddr="123.56.228.182",sport="443",daddr="192.168.239.132",dport="50488",seq="1552969134",ack="4162201006",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4881200",saddr="123.56.228.182",sport="443",daddr="192.168.239.132",dport="50488",seq="1552969134",ack="4162201006",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4881200",saddr="123.56.228.182",sport="443",daddr="192.168.239.132",dport="50488",seq="1552973230",ack="4162201012",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4881200",saddr="123.56.228.182",sport="443",daddr="192.168.239.132",dport="50488",seq="1552973230",ack="4162201012",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4881200",saddr="123.56.228.182",sport="443",daddr="192.168.239.132",dport="50488",seq="1552973230",ack="4162201012",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4881200",saddr="123.56.228.182",sport="443",daddr="192.168.239.132",dport="50488",seq="1552973230",ack="4162201012",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4881200",saddr="123.56.228.182",sport="443",daddr="192.168.239.132",dport="50488",seq="1552973230",ack="4162201012",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4881200",saddr="192.168.239.132",sport="50488",daddr="123.56.228.182",dport="443",seq="4162201012",ack="1552973667",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc4881200",saddr="192.168.239.132",sport="50488",daddr="123.56.228.182",dport="443",seq="4162201086",ack="1552973667",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc4881200",saddr="192.168.239.132",sport="50488",daddr="123.56.228.182",dport="443",seq="4162201132",ack="1552973667",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc4881200",saddr="192.168.239.132",sport="50488",daddr="123.56.228.182",dport="443",seq="4162201181",ack="1552973667",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc4881200",saddr="123.56.228.182",sport="443",daddr="192.168.239.132",dport="50488",seq="1552973667",ack="4162201482",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4881200",saddr="123.56.228.182",sport="443",daddr="192.168.239.132",dport="50488",seq="1552973667",ack="4162201482",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4881200",saddr="123.56.228.182",sport="443",daddr="192.168.239.132",dport="50488",seq="1552973746",ack="4162201482",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
