timestamp,cpu_usage,cpu_wait,mem_usage,io_tps,io_read,io_write,net_in,net_out,anomaly,status,abnormal_dims
2025-09-15 21:40:29,2,0,0.4550155118924509,6.26,109.2,318.04,3832,3204,1,正常,正常
2025-09-15 21:40:30,17,0,0.4550155118924509,7.26,121.2,318.02,4932,4812,1,正常,正常
2025-09-15 21:40:32,3,0,0.4552740434332988,6.26,109.19,318.0,3346,3346,1,正常,正常
2025-09-15 21:40:33,13,0,0.4555325749741468,6.26,109.18,317.98,4508,4480,1,正常,正常
2025-09-15 21:40:35,3,0,0.4547569803516029,7.26,113.17,317.95,3746,3764,1,正常,正常
2025-09-15 21:40:36,15,0,0.4539813857290589,9.26,113.17,333.94,4562,4572,1,正常,正常
2025-09-15 21:40:38,6,0,0.4542399172699069,8.26,117.16,317.91,4088,3816,1,正常,正常
2025-09-15 21:40:40,8,0,0.4537228541882109,6.26,109.15,317.88,4204,4308,1,正常,正常
2025-09-15 21:40:41,8,0,0.4542399172699069,8.26,109.14,333.86,4882,5030,1,正常,正常
2025-09-15 21:40:43,6,0,0.4539813857290589,8.26,121.13,317.83,4268,4382,1,正常,正常
2025-09-15 21:40:44,9,0,0.4542399172699069,6.26,109.13,317.82,5470,5486,1,正常,正常
2025-09-15 21:40:46,5,0,0.4539813857290589,8.26,109.12,341.8,4424,4568,1,正常,正常
2025-09-15 21:40:48,14,0,0.4539813857290589,6.26,109.11,317.77,5994,5776,1,正常,正常
2025-09-15 21:40:49,4,0,0.4542399172699069,7.25,113.06,317.75,7848,8508,1,正常,正常
2025-09-15 21:40:51,14,0,0.4544984488107549,8.26,109.09,341.72,4926,4890,1,正常,正常
2025-09-15 21:40:52,3,0,0.4542399172699069,6.26,109.09,317.71,3628,3552,1,正常,正常
2025-09-15 21:40:54,12,0,0.4542399172699069,6.25,109.08,317.68,6896,7274,1,正常,正常
2025-09-15 21:40:56,17,0,0.4544984488107549,12.25,109.07,369.65,4124,4324,1,正常,正常
2025-09-15 21:40:57,9,0,0.4547569803516029,6.25,109.06,317.64,10904,12316,1,正常,正常
2025-09-15 21:40:59,6,0,0.4547569803516029,6.25,109.05,317.61,4118,4254,1,正常,正常
2025-09-15 21:41:02,9,0,0.4547569803516029,10.25,109.04,353.58,4064,4124,1,正常,正常
2025-09-15 21:41:03,16,0,0.4544984488107549,6.25,109.04,317.57,4826,4260,1,正常,正常
2025-09-15 21:41:05,8,0,0.4547569803516029,6.25,109.02,317.54,4016,4030,1,正常,正常
2025-09-15 21:41:07,8,0,0.4544984488107549,6.25,109.01,317.51,10180,10934,1,正常,正常
2025-09-15 21:41:08,14,0,0.4550155118924509,6.25,109.01,317.49,4818,4692,1,正常,正常
2025-09-15 21:41:10,4,0,0.4544984488107549,6.25,109.0,317.46,3876,4018,1,正常,正常
2025-09-15 21:41:11,12,0,0.4544984488107549,12.19,108.99,372.9,5198,5148,1,正常,正常
2025-09-15 21:41:13,4,0,0.4544984488107549,6.25,108.98,317.42,3576,3552,1,正常,正常
2025-09-15 21:41:14,20,0,0.4547569803516029,7.25,112.98,317.41,4970,5340,1,正常,正常
2025-09-15 21:41:16,15,0,0.4614788004136504,20.25,108.97,441.38,3962,4236,1,正常,正常
2025-09-15 21:41:18,25,0,0.4643226473629783,6.25,108.96,317.35,5272,5522,1,正常,正常
2025-09-15 21:41:21,25,0,0.4656153050672182,19.25,108.94,433.31,4446,5334,-1,异常,"CPU,MEM,IO,NET"
2025-09-15 21:41:22,17,0,0.4658738366080662,6.25,108.94,317.3,4148,4394,1,正常,正常
2025-09-15 21:41:24,23,0,0.4671664943123061,6.25,108.93,317.27,5396,5538,1,正常,正常
2025-09-15 21:41:25,18,0,0.4658738366080662,6.25,108.92,317.25,3884,4448,1,正常,正常
2025-09-15 21:41:27,23,0,0.4674250258531541,6.25,108.91,317.22,4662,4858,1,正常,正常
